Palabra Original,Traducción
tdah,adhd
filosofía política,political philosophy
desigualdad de oportunidad,inequality of opportunity
modelos de selección muestral,sample selection models
análisis de sensibilidad,sensitivity analysis
regresión funcional,functional regression
desinstitucionalización,deinstitutionalization
ecuaciones integro-diferenciales,integral-differential equations
accounting and financial economics,accounting and financial economics
absorción de energía,energy absorption
modelos matemáticos estocásticos,stochastic mathematical models
estimación de fdps,fdps estimate
sensores inerciales,inertial sensors
fair,fair
coche eléctrico,electric car
ran,ran
gestión térmica,thermal management
sustainability,sustainability
band gap electromagnético (ebg),electromagnetic band gap (ebg)
power electronics modeling of power converters dc-dc converters pfc rectifiers digital control,power electronics modeling of power converters dc-dc converters pfc rectifiers digital control
códigos públicos,public codes
realidad aumentada (ar),augmented reality (ar)
economía de los servicios,service economy
security and confidence,security and confidence
long-run data,long-run data
sistemas eléctricos de potencia,electrical power systems
sociedad de la información diseño multiplataforma,information society multiplatform design
modelización y simulación,modeling and simulation
4d printing,4d printing
retención,retention
standardisation,standardisation
modelos gráficos,graphic templates
sistema normativo,regulatory system
cdr,cdr
implementación hardware,hardware implementation
temperature measurements,temperature measurements
aging experiments,aging experiments
fricciones,frictions
sinterización,sintering
olor corporal,body odor
sistemas de control de gestión,management control systems
hormigón,concrete
intervenciones en televisión sobre materias que requieran intervención de experto,interventions on television on matters that require expert intervention
pruebas,evidence
sexismo lingüistico,linguistic sexism
tdc,tdc
convertidor fotovoltaico,photovoltaic converter
compresión,compression
datos masivos,big data
estadística no-paramétrica,non-parametric statistics
profundidad estadística,statistical depth
pricing,pricing
seguros,insurance
basados en agentes,agent based
evaluación científica,scientific evaluation
ion-sputtering. colonias,ion-sputtering. colonias
baterías de litio y de sodio,lithium and sodium batteries
ajustes razonables,reasonable adjustments
robots de rehabilitación,rehabilitation robots
raw,raw
tendencias.,trends.
inhibition synergism.,inhibition synergism.
acoso por razón de sexo,harassment based on sex
sociedad internacional,international society
sistema espectroscoía,spectroscopy system
tecnologías cuánticas,quantum technologies
isac,ISACA
transferable skills,transferable skills
viga,error
impurezas.,impurities.
solar térmica,solar thermal
ems,ems
derecho de la competencia,competition law
seguridad como servicio,security as a service
valor razonable,fair value
ingeniería tisular,tissue engineering
dynamical modelling,dynamical modelling
scheduling,scheduling
pancreatic cancer,pancreatic cancer
gemcitabine resistance,gemcitabine resistance
reprogramming tumour microenvironment,reprogramming tumour microenvironment
ent1,entity1
nfkb,nfkb
asignación de cursos,course assignment
fuentes ópticas multimodo y sintonizables,multimode and tunable optical sources
expedientes personales,personal files
ingeniería de vehículos,vehicle engineering
guerra civil española,Spanish Civil War
eficacia,effectiveness
enlightenment,enlightenment
programa de fusión dones-evo,dones-evo fusion program
rugosidad biofísica,biophysical roughness
radiobiología,radiobiology
tecnlogías audiovisual,audiovisual technologies
asistencia personas con necesidades especiales,assistance for people with special needs
planificación automática,automatic planning
estandarizacion,standardization
biología,biology
econometrís,econometricians
ciclicidad,cyclicity
evento,event
algas marinas,seaweed
óptica adaptiva,adaptive optics
peer-review,peer-review
localización,location
números de condición estructurados,structured condition numbers
tecnologías del habla,speech technologies
imagen por ratos x,image at times x
ecuación de euler,euler equation
medios porosos,porous media
social movements,social movements
seguros no-vida,non-life insurance
primera guerra mundial,first World War
cavitation,cavitation
apliaciones moviles modelado de daros,mobile applications data modeling
confianza digital,digital trust
cabin,cabin
integrated automated robotic system,integrated automated robotic system
diseño mecánica,mechanical design
industria 4.0. pymes industriales.,industry 4.0. industrial SMEs.
responsabilidad limitada,limited liability
potencia,power
electrónica de potencia,power electronics
filosofía,philosophy
– aerospace engineering,– aerospace engineering
innovación software,software innovation
e-learning,e-learning
reconfigurable,reconfigurable
fisica estadística,statistical physics
fisica estadistica,statistical physics
educación médica,medical education
tecnologías disruptivas,disruptive technologies
underground robotics,underground robotics
cargabilidad,loadability
pilas de combustible de membrana polimérica,polymer membrane fuel cells
optical networks,optical networks
regeneración,regeneration
captura de movimientos,motion capture
bonos climáticos,climate bonds
simulaciones numericas,numerical simulations
seguridad y privacidad,security and privacy
atmospheric chemistry,atmospheric chemistry
atmospheric composition,atmospheric composition
historia económica,Economic history
computación cognitiva,cognitive computing
movilidad de redes,network mobility
concursos,contests
high pressure,high pressure
especios fisicos,physical species
sensado activo,active sensing
convertidor cc-cc,dc-dc converter
integrated fronthaul/backhaul,integrated fronthaul/backhaul
reconocimiento,recognition
vector hidrógeno,hydrogen vector
desastres naturales,natural disasters
fricciones financieras,financial frictions
incumplimiento,breach
asistencia para el,assistance for the
gestión de la innovación,Innovation Management
economía laboral,labor economics
polarización,Polarization
fiabilidad en equipos aeroespaciales,reliability in aerospace equipment
sistema universitario público madrileño (supm),madrileño public university system (supm)
derecho uniforme,uniform right
sensores en el teléfono móvil,sensors on mobile phone
robótica soft,soft robotics
estado autonómico,autonomous state
ethernet,ethernet
diseño de materiales / materials design,materials design / materials design
sexismo social,social sexism
led,led
cyber resilience,cyber resilience
accounting scholarship,accounting scholarship
sociedad civil,civil society
dc-dc converter,dc-dc converter
electroóptica,electro-optics
cementos sostenibles,sustainable cements
mercado de trabajo,Work market
impacto balístico probetas metálicas impresión 3d,ballistic impact metal test tubes 3d printing
magnetometría,magnetometry
tensión soportada,withstand stress
experimentación,experimentation
procesado de señales,signal processing
reconocimiento de patrones,pattern recognition
andalucía,Andalusia
food safety,food safety
inspección no destructiva (ndt),non-destructive inspection (ndt)
invariancia-de-escala-genérica,generic-scale-invariance
sistemas clásicos y cuánticos,classical and quantum systems
kardar-parisi-zhang,kardar-parisi-zhang
intercaras,intercaras
ensayos,essays
software accesilidad,software accessibility
ecológico,ecological
representación,representation
skills training in phd programmes,skills training in phd programmes
multilateral,multilateral
redes neuronales convolucionales,convolutional neural networks
propagacion,spread
asesoramiento experimental,experiential advice
análisis de gases disueltos,dissolved gas analysis
works councils,works councils
monitorización de incidencias,incident monitoring
ciudad inteligente,smart city
embodied sensemaking,embodied sensemaking
polarization,polarization
quality assessment,quality assessment
contramedidas electrónicas,electronic countermeasures
modelado 3d,3d modeled
cohesión,cohesion
estimación bayesiana,bayesian estimation
hispanoamérica,spanish america
sistemas de información,information systems
gestión de carteras,portfolio management
solid mechanics,solid mechanics
computational mechanics biotecnología en salud (biomedical engineering,computational mechanics biotechnology in health (biomedical engineering
conmutadores,switches
politicas,policies
conducción eficiente,Efficient driving
análisis de patentes,patent analysis
web 2. 0,web 2. 0
tabla de mortalidad,mortality table
coded caching,coded caching
wireless networks,wireless networks
distributed storage,distributed storage
channel estimation,channel estimation
interference,interference
higher education,higher education
protección de datos personales,personal data protection
diseño de circuitos integrados,integrated circuit design
energía solar térmica,Thermal solar energy
calor sostenible industria,sustainable heat industry
ship,ship
materiales sostenibles,sustainable materials
colectores solares,solar collectors
fresnel,fresnel
intelligent i/o tuning,intelligent i/o tuning
modular converters,modular converters
gravedad cuantica de lazos,loop quantum gravity
estadística,statistics
sistemas urbanos,urban systems
uavs,uavs
bioética,bioethics
auxético,auxetic
energy management system,energy management system
conductividad térmica,Thermal conductivity
validación experimental,experimental validation
fanet,fan
competencia europea,European competition
transiciones laborales,job transitions
fuerzas intercelulares,intercellular forces
descarga de contenido web,downloading web content
funcionally-graded structures,funcionally-graded structures
metáfora,metaphor
actuador multihilo,multiwire actuator
métodos bayesiano,Bayesian methods
mercancías transporte,goods transport
transporte intermodal,intermodal transport
knowledge transfer events,knowledge transfer events
migraciones,migrations
sistemas supramoleculares,supramolecular systems
desigualdad,inequality
carencia extrema y exclusión social,extreme deprivation and social exclusion
tributos,taxes
creencias subjetivas,subjective beliefs
communication networks,communication networks
filmoteca española,spanish film library
analítica de aprendizaje,learning analytics
fingerprint,fingerprint
usability performance,usability performance
arranque autónomo,autonomous start
microwave and terahertz technology,microwave and terahertz technology
procesamiento distribuido,distributed processing
penalized splines,penalized splines
almacenamiento,storage
flujo en medios porosos,flow in porous media
mri,mri
equipos sistemas,equipment systems
desarrollo basado en modelos,model-driven development
conformado coloidal,colloidal forming
imagen óptica in-vivo,in-vivo optical imaging
control estocástico,stochastic control
little divergence,little divergence
laminados,laminated
valores extremos,extreme values
online verification,online verification
artificial inteligence,artificial inteligence
asignación dinámica de recursos,dynamic resource allocation
sistemas regionales de derechos humanos,regional human rights systems
codificación temporal,time coding
análisis de contenido,content analysis
cdn,cdn
falsificaciones,counterfeits
piezoelectricidad,piezoelectricity
demand models,demand models
mixed regression models,mixed regression models
sistemas multi-antena,multi-antenna systems
maquetación,model
ngn,Mr
red vehicular sin infraestructura,vehicle network without infrastructure
bibliotecas,libraries
sistemas electroquímicos,electrochemical systems
h2-auxiliary systems,h2-auxiliary systems
conservadurismo,conservatism
generación no síncrona,non-synchronous generation
inmanned aerial vehicles,inmanned aerial vehicles
communication protocols,communication protocols
progreso moral,moral progress
simulación combinada termoelástica,thermoelastic combined simulation
gyroscopes,gyroscopes
gender perspective,gender perspective
microscopía avanzada,advanced microscopy
economia circular,circular economy
blindaje ligero ugc fml elementos finitos,light armor ugc fml finite elements
pulvimetalurgía,powder metallurgy
hyper-connectivity,hyper-connectivity
orchestration,orchestration
multidomain,multidomain
resource-constrained,resource-constrained
logística,logistics
magnetoelasticity,magnetoelasticity
regulación del audiovisual,audiovisual regulation
generación fotónica de milimétricas y terahercios,millimeter and terahertz photonic generation
racismo,racism
social robotics,social robotics
simulación por ordenador,computer simulation
real,real
array acustico,acoustic array
mems,mems
detección de peatones,pedestrian detection
sistema aeb (automatic emergency brake),sistema aeb (automatic emergency brake)
airborne wind energy,airborne wind energy
safety,safety
cámara de iris,iris camera
flexible,flexible
texto,text
caracterización,characterization
hidrógeno,hydrogen
energía renovable,renewable energy
biometrics,biometrics
procedimientos tributarios,tax procedures
testigo,witness
impresión,impression
agencia individual,individual agency
vínculo social,social bond
hospitales,hospitals
implantes cardiacos,cardiac implants
perfilado de agentes,agent profiling
maintainability,maintainability
historia siglo xx,20th century history
materiales inteligentes,smart materials
teoria de la informacion,information theory
hip,hip
conducción,driving
estocasticidad,stochasticity
características,characteristics
canal de retorno,return channel
movilidad posdoctoral,postdoctoral mobility
gestión de contenidos web,web content management
entrada/salida,entrance exit
patrimonio fotográfico,photographic heritage
filosofía patient-specific,patient-specific philosophy
ieee 802,ieee 802
networked robot systems,networked robot systems
sistemas de vision,vision systems
disinformation,disinformation
education,education
network society,network society
media literacy,media literacy
tercer sector,third sector
pet. ultrasonido. mamografia,pet. ultrasound. mammography
social inclusion,social inclusion
dinámica de sistemas multicuerpo,dynamics of multibody systems
estándar,standard
núcleos,cores
eficiencia del marketing,marketing efficiency
evolucion,evolution
herramientas de monitorización,monitoring tools
conjunto de clasificadores,classifier set
agentes inteligentes,intelligent agents
tissue engineering,tissue engineering
piel,fur
high performance/low noise,high performance/low noise
matrices quasiseparables,matrices quasiseparables
derechos personalidad,personality rights
minería,mining
microondas,microwave
renta fija,fixed rent
análisis econométrico,econometric analysis
calor residual,calor residual
visión en entornos simulados,vision in simulated environments
dinámica de la humedad,humidity dynamics
muestreo,sampling
ciudades inteligentes,smart cities
espacios artísticos autogestionados,self-managed artistic spaces
transformador de potencia,power transformer
transformador de distribución,distribution transformer
fluidos biodegradables,biodegradable fluids
ésteres naturales,natural esters
ésteres sintéticos,synthetic esters
gestión de vida,life management
data broker,data broker
hiperbolicidad de gromov,gromov hyperbolicity
tecnología lídar,lidar technology
predicción de proms y prems,proms and prems prediction
aerogenerador de microescala,microscale wind turbine
robots móviles,mobile robots
diseño para todos,design for everyone
model predictive control,model predictive control
educacion,education
runtime engines,runtime engines
energía y salud.,energy and health.
mujeres,women
explosives removal,explosives removal
intelligent transportation systems,intelligent transportation systems
connected autonomous vehicles,connected autonomous vehicles
v2x communications,v2x communications
barra estabilizadora,stabilizer bar
tabla biométrica,biometric table
share,share
desempleo,unemployment
iso/ iec 14882: 2017,iso/ iec 14882: 2017
architecture,architecture
smart buildings,smart buildings
smart cities,smart cities
urban engineering,urban engineering
patrones,patterns
producción audiovisual,audiovisual production
simulantes de tejido humano,simulating human tissue
estimación de estado,state estimate
telerehabilitación,telerehabilitation
data market,data market
disciplina de mercado,market discipline
process control,process control
regresión penalizada,penalized regression
responsabilidad penal de personas jurídicas,criminal liability of legal entities
programas de cumplimiento y prevención,compliance and prevention programs
plaza mayor,Main Square
metaepistemología,metaepistemology
sol-gel,sol-gel
zero-trust exposure,zero-trust exposure
transporte inteligente. transporte eficiente limpio,smart transportation. clean efficient transportation
comportamiento en servicio,behavior in service
electronic engineering,electronic engineering
condicionantes sociales de la salud,social conditions of health
energy-efficiency,energy-efficiency
procesamiento de datos,data processing
cultura jurídica,legal culture
integridad,integrity
participación ciudadana,citizen participation
servicios basados en localización,location based services
sociedad,sociedad
robotica social,robotica social
soft matter,soft matter
robótica colaborativa,collaborative robotics
turbulencia en plasmas,turbulence in plasmas
simulador solar,solar simulator
migraciones internacionales,international migrations
seguros vida,life insurance
acceso a la justicia,access to justice
pic.,pic.
test estadísticos,statistical tests
experiencia religiosa,religious experience
democracia,democracy
construcción de la realidad,construction of reality
mav,mav
detección de atípicos,outlier detection
plantas solar termoeléctricas,solar thermoelectric plants
respuesta dinámica,dynamic response
inertial actuator,inertial actuator
diseño filtro,filter design
serius games,serious games
crowdfunding,crowdfunding
""" predicción de colisiones""","""collision prediction"""
broadband technology,broadband technology
elecciones,elections
valoración de empresas,business valuation
eólica offshore,offshore wind
nanoensamblado,nanoassembly
offshoring,offshoring
array de antena,antenna array
desarrollo moral,moral development
matching technologies,matching technologies
combustibles alternativos,Alternative fuels
reformado,retired
dinámica de llamas,flame dynamics
inestablidades,instabilities
privacy violation detection and safeguarding,privacy violation detection and safeguarding
sector financiero,financial sector
high performance storage,high performance storage
file systems,file systems
malleability,malleability
cloud,cloud
simulación combinada termoelásticas.,combined thermoelastic simulation.
consumer-driven business,consumer-driven business
transferibilidad,transferability
servicios económicos de interés general,economic services of general interest
generador termoeléctrico,thermoelectric generator
reducción de ruido,noise reduction
governance,governance
radiología,radiology
dinámica vehicular,vehicle dynamics
seguridad vial,road safety
control de la dinámica vehicular,vehicle dynamics control
art direction,art direction
vehículo autónomo,autonomous vehicle
application device,application device
bayesian modelling,bayesian modelling
francia,France
power transformer,power transformer
examen oferta empleo público,public job offer exam
seguridad de operación,operation safety
gotas,drops
soft computing,soft computing
5g aware networks,5g aware networks
organismos de cuenca,basin organizations
federation,federation
service function chaining,service function chaining
conmutación,commutation
comunicaciones ópticas inalámbricas,wireless optical communications
conversión ad,ad conversion
cobre,copper
evaluación de políticas públicas,public policy evaluation
crédito,credit
mecanica de materiales compuestos,mechanics of composite materials
entropías de información,information entropies
electrónica imprimible,printable electronics
microeconomía,microeconomics
módulos,modules
wetting,wetting
student mobility,student mobility
análisis masivo de datos,massive data analysis
láseres,lasers
empresas de base tecnológica,technology-based companies
plataforma de gestión y comunicaciones avanzadas,advanced communications and management platform
sistemas de visualización,display systems
space debris photovoltaic technologies,space debris photovoltaic technologies
microcogeneración,microcogeneration
lechos vibrantes,vibrating beds
plasma probes,plasma probes
interacción,interaction
materiales para condiciones extremas de trabajo,materials for extreme working conditions
producción y procesamiento,production and processing
familia,family
estabilidad presupuestaria,budget stability
socionical,socionical
ámbito municipal,municipal level
nature,nature
peace,peace
environment,environment
logics,logics
cultura y deporte,culture and sport
reconocimiento biométrico,biometric recognition
legibilidad,readability
tomografía computarizada,computed tomography
biomateriales,biomaterials
aleacciones de memoria de forma,shape memory alloys
auditoría,audit
over the top providers,over the top providers
sintesis dimensional,dimensional synthesis
quantitative analysis,quantitative analysis
comparative analysis,comparative analysis
survey experiment,survey experiment
warming,warming
decarbonisation,decarbonisation
industrial relations,industrial relations
safety and health,safety and health
social protection,social protection
evolucionaria,would evolve
european structural found,european structural found
algorithms,algorithms
user modelling,user modelling
semana de la ciencia,science Week
tecnologías de seguridad,security technologies
co-sumabilidad,co-summability
inducción electromagnética,electromagnetic induction
patentes,patents
impensas,expenses
base de datos,database
ingeniería de software,Software Engineering
entorno aeroespacial,aerospace environment
tolerancia a fallos,Fault tolerance
almacenamiento de altas prestaciones,high performance storage
sistemas de ficheros,file systems
maleabilidad,malleability
planificación,planning
monitorización.,monitoring.
juegos repetidos,repeated games
atmósfera marciana,martian atmosphere
optical technology,optical technology
aviation,aviation
parques eólicos marinos,offshore wind farms
5g end-to-end facility,5g end-to-end facility
materiales disimilares,dissimilar materials
aislamiento de frecuencias,frequency isolation
in-mould assembly,in-mould assembly
caracterización láseres sintonizables fibras ópticas cámaras,characterization tunable lasers optical fibers cameras
justicia restaurativa,restorative justice
data stewards,data stewards
odometria visual,odometria visual
3d,3d
américa latina,Latin America
leadership,leadership
predicción de trayectorias aéreas 4d,4d air trajectory prediction
android,android
unificación del derecho privado europeo,unification of European private law
kpi benchmarking,kpi benchmarking
dimensiones finales de pieza,final part dimensions
meshless,meshless
estudios preclínicos,preclinical studies
sociedad civil: espacio público,civil society: public space
boimetrics,boimetrics
esa,esa
física solar,solar physics
in-vivo imaging,in-vivo imaging
terapias,therapies
innovación,innovation
mixed human-robot societies,mixed human-robot societies
digital dividend,digital dividend
polvo,dust
graphene,graphene
interacción persona-máquina,human-machine interaction
fabricación de sistemas seguridad,manufacturing of security systems
pmc,pmc
collaboration,collaboration
bulos,hoaxes
nuevas arquitecturas,new architectures
conversion de datos,data conversion
industria4.0,industria4.0
sensor multiespectral infrarrojo,infrared multispectral sensor
industrial bioengineering,industrial bioengineering
neural cell function,neural cell function
simulaciones,simulations
discurso upstander,upstander speech
child abuse,child abuse
procesamiento paralelo,parallel processing
pilas de combustible de óxido sólido,solid oxide fuel cells
estructura reticular,reticular structure
iluminación,lightning
electrical steel structuring,electrical steel structuring
combustibles limpios,clean fuels
danza,danza
condiciones de trabajo,working conditions
confianza y reputation,trust and reputation
comercio internacional,International Trade
corrosion protection,corrosion protection
profundidades estadísticas,statistical depths
climate-optimisation of aircraft trajectories,climate-optimisation of aircraft trajectories
comunicaciones moviles,mobile communications
plantas termosolares de torre (spt),tower thermosolar plants (spt)
flexibilidad y gestionabilidad de las spt,flexibility and manageability of spt
operación segura de las spt,safe operation of spt
equipos de intercambio de,exchange equipment
data enrichment and extraction system,data enrichment and extraction system
sociedades seguras,safe societies
directive 2012/29/eu,directive 2012/29/eu
federalismo fiscal,fiscal federalism
metalocerámicos,metal ceramics
microstructural characterization,microstructural characterization
w-ti,w-ti
w-v,w-v
seguridad del paciente,patient safety
aleación mecánica,mechanical alloy
metaética,metaethics
convertidores ac-dc,ac-dc converters
mpi,mpi
control de flujos,flow control
chorros,jets
turbulencia de pared,wall turbulence
rectificadores trifásicos para aplicaciones aeronáuticas,three-phase rectifiers for aeronautical applications
circuitos integrados fotónicos,photonic integrated circuits
espumas,foams
epigrafía,epigraphy
envasado de alimentos,food packaging
redes en el hogar,home networks
libre circulación de personas,free movement of people
consultoría,consultancy
guía técnica,technical guide
eliminación activa de basura espacial,active removal of space debris
tomografía de óptica difusa,diffuse optical tomography
valor de la empresa,company value
robots para la salud,robots for health
sensor calibration,sensor calibration
app,app
periodismo,journalism
beyond 5g networks ulatra-reliability network function virtualization,beyond 5g networks ulatra-reliability network function virtualization
gestión de emergencias,emergency management
videocreación,video creation
geolocalización,geolocation
espacios inteligentes,smart spaces
protección catódica pulsante,pulsating cathodic protection
tuberculosis,tuberculosis
directiva comunitaria,community directive
location data,location data
verificación,check
francés,French
inspection,inspection
revalorización de un fondo único,revaluation of a single fund
mortalidad,mortality
integración vertical,vertical integration
fuel cells,fuel cells
autovectores y factorizaciones matriciales,eigenvectors and matrix factorizations
puesta,put
armonización entre dominios,cross-domain harmonization
imagen óptica no-invasiva,non-invasive optical imaging
historia de la religión,history of religion
dinámica pasiva,passive dynamics
efectos por eventos simples,effects by simple events
inteligent control,intelligent control
razón social:,business name:
agentes,agents
redes de colas,queue networks
actorics,actorics
generación de transcripciones accesibles a partir de reconocedores de habla,generation of accessible transcriptions from speech recognizers
vínculos familiares,family ties
specification tests,specification tests
materiales naturales,natural materials
trajectory based operations (tbo),trajectory based operations (tbo)
laboratorios de ciencia de materiales,materials science laboratories
adaptive optics,adaptive optics
cvs,cvs
contenidos audiovisuales personalizados,personalized audiovisual content
stellarator,stellarator
titanio,titanium
baterías recargables,rechargeable batteries
lenguaje natural,natural language
aviation environmental impact,aviation environmental impact
multidisciplinary analysis design and optimisation,multidisciplinary analysis design and optimisation
asimetrías en la incertidumbre,asymmetries in uncertainty
fml,fml
rodaje,filming
redes ad hoc,you must do this
paralelo,parallel
técnicas de procesado digital de electrocardiogramas,digital electrocardiogram processing techniques
tomografía de fluorescencia mesoscópica,mesoscopic fluorescence tomography
intelligent systems,intelligent systems
systems,systems
standards and formats,standards and formats
ventaja competitiva,competitive advantage
generación de hidrógneo por electrólisis,hydrogen generation by electrolysis
componentes iu,ui components
high thrust,high thrust
redes ópticas elásticas,elastic optical networks
cuidados remunerados,paid care
fotomezclado,photomezclado
teoría de colas,theory of tails
irradiación,irradiation
natural language processing,natural language processing
diseño basado en modelos,model-based design
técnicas estadísticas,statistical techniques
sistema nacional de salud,National system of health
metaheuristicas,metaheuristicas
var,was
vidioarbitraje,video arbitration
espejos,Mirrors
control fraccionario,fractional control
convergencia,convergence
inteligencia computacional,computational intelligence
cinetico,kinetic
asistencia para el desarrollo,development assistance
dinámica social,social dynamics
análisis estructural,structural analysis
europa,europa
rodamiento,Bearing
autonomous control,autonomous control
diseño de aerocondensadores,aerocondenser design
producción,production
radiómetros,radiometers
búsqueda monetaria,monetary search
ayudas técnicas,technical help
intervención pública,public intervention
trafico de datos,data traffic
personas jurídicas,legal persons
optimización,optimization
nano-precipitación,nano-precipitation
assisted living,assisted living
optimización en la fase de entrenamiento del algoritmo,optimization in the algorithm training phase
subtitulado automático,automatic subtitling
traceability,traceability
research data management,research data management
prediccion,prediccion
datos mixtos,mixed data
blindaje,armor
fecundidad,fertility
comportamiento de empresas,company behavior
no discriminación,nondiscrimination
gamificación,gamification
cointegración,cointegration
regulación de capital,capital regulation
estimulación,stimulation
archivo,archive
ahorro energético,energy saving
teoría operadores,operators theory
materiales reforzados,reinforced materials
centrales termosolares,solar thermal power plants
energía eólica,wind power
generación energía aerotransportada,airborne power generation
nanocompuestos,nanocompuestos
silicon,silicon
atención,attention
space tethers,space tethers
product design,product design
tipología documental,documentary typology
mercados de electricidad,electricity markets
procesado y desarrollo de aleaciones,alloy processing and development
decolonial theories,decolonial theories
mujeres iberoamericanas,Ibero-American women
ocupaciones,activities
exascale.,exascale.
integración de mercados,market integration
garantismo,guaranteeism
immigration,immigration
integration,integration
asylum,asylum
social capital,social capital
gravity model,gravity model
búsqueda heurística,heuristic search
inter-slice control and cross-domain management,inter-slice control and cross-domain management
vibraciones mecánicas,mechanical vibrations
plataforma web,web platform
modelos matemáticos,mathematical models
metrología,metrology
publicación web,web publication
derecho social comparado,comparative social law
derecho internacional público,public international law
futuros,futures
funded pensions,funded pensions
coherencia,coherence
automation,automation
marcadores discursivos,discourse markers
wp1,wp1
tecnología web,web technology
cancelación anticipada,Anticipated cancelation
publicaciones sobre big data,publications about big data
nic,nic
ética de la creencia,ethics of belief
limites fluidos,fluid boundaries
filosofía del derecho,philosophy of law
informe,report
rse,rse
inclusión social,social inclusion
high frequency technology,high frequency technology
orientaciones pro-europeas,pro-European orientations
aprendizaje bayesiano,bayesian learning
programación paralela,parallel programming
recolección de energía,energy harvesting
molienda mecánica de alta energía,high energy mechanical grinding
mercados de energía,energy markets
tial,tial
innovación medioambiental,environmental innovation
persistencia,persistence
polímeros avanzados,advanced polymers
cambiadores de calor,heat exchangers
eservicios,eservices
parada optima,optimal stop
fusion de datos,data fusion
radio frequency,radio frequency
autonomous systems,autonomous systems
security testing,security testing
software testability,software testability
web application security,web application security
static analysis,static analysis
dynamic,dynamic
gap waveguide technology,gap waveguide technology
multi-band,multi-band
multibeam,multibeam
asimetrías,asymmetries
física de la materia viva,physics of living matter
polinomios con ortogonalidad no estándar,polynomials with non-standard orthogonality
manipuladores móviles,mobile manipulators
aerosoles,aerosol sprays
detección no linealidades,non-linearity detection
diagnóstico,diagnosis
visualización colaboración interacción personal ordenador,visualization collaboration interaction personal computer
pensiones,pensions
microscopía electrónica de transmisión,transmission electron microscopy
antropología,anthropology
robots personales,personal robots
ortogonalidad matricial,matrix orthogonality
alta precisión relativa,high relative precision
computación en la nube y la niebla.,cloud and fog computing.
head mounted displays,head mounted displays
aislamiento de transformadores,transformer insulation
modos de fallo,failure modes
colaboración en los programas,collaboration in programs
redes de empresas,business networks
aproximación saddlepoint,saddlepoint approach
tribunales,courts
nano-materials,nano-materials
microelectronics,microelectronics
affective computing,affective computing
smart sensors,smart sensors
hardware acceleration,hardware acceleration
physiological signals,physiological signals
flexible chips,flexible chips
polinomios matriciales,matrix polynomials
derecho administrativo,administrative law
inteligencia de fuentes abiertas,open source intelligence
asistentes de código,code wizards
mobile networks applications,mobile networks applications
optical,optical
grid-forming,grid-forming
política social,social policy
sroi,sroi
prototipo,prototype
energía solar,solar energy
óptica difractiva,diffractive optics
microelectronica de señal mixta,mixed signal microelectronics
distribución de la renta,Distribution of income
dmae,dmae
medios audiovisuales,audiovisual media
salarios,wages
guerras civiles,civil wars
gasificacion,gasification
het,It
niif/nic,niif/nic
condiciones dinámicas,dynamic conditions
marketing analytics,marketing analytics
dynamic modeling,dynamic modeling
constitucionalización,constitutionalization
índices biomecánicos,biomechanical indices
bajo coste,low cost
actividad administrativa,administrative activity
control óptimo geométrico,geometric optimal control
outcomes,outcomes
epiwork,epiwork
cadenas de poros,pore chains
saliencia auditiva,auditory salience
clasificación de escena acústica,acoustic scene classification
detección de eventos acústicos,acoustic event detection
aprendizaje máquina,machine learning
sistema ciberfísico,cyberphysical system
violencia,violence
documental institucional,institutional documentary
políticas de bienestar,welfare policies
modelo de orden reducido,reduced order model
analitica del aprendizaje,learning analytics
mineria de datos eductativo,mining of educative data
tecnologias educativas,educational technologies
opera,opera
criterios de fallo,failure criteria
interceptación legal de las comunicaciones,legal interception of communications
sistema de inteligencia estratégica,strategic intelligence system
ensayos en vuelo,flight tests
contenidos,contents
procesamiento de señal,signal processing
electromagnetismo,electromagnetism
deporte,sport
cookies,cookies
inferencia,inference
mental health,mental health
historia moderna,history modern
combustion,combustion
geografía cultural,cultural geography
reciclaje,recycling
crisis,crisis
bess,bess
orquestacion. aprendizaje ubicuo,orchestration. ubiquitous learning
audiovisual production,audiovisual production
evidencia de aseguramiento,evidence of assurance
festival,festival
multi agent systems,multi agent systems
fpga,fpga
comportamiento,behavior
trastornos mentales.,mental disorders.
secuenciación,sequencing
ceramic,ceramic
non-,non-
prediction intervals,prediction intervals
temperature,temperature
volatility,volatility
dynamic factor models,dynamic factor models
cross-correlated idiosyncratic components,cross-correlated idiosyncratic components
parameter,parameter
medidas de desigualdad.,inequality measures.
condensación por aire,air condensation
mantenimiento 4.0,maintenance 4.0
asturias,asturias
hinterland,hinterland
cosi_ict,cosi_ict
eventos,events
robots subterráneos,underground robots
incapacidad permanente,permanent disability
materials engineering,materials engineering
spatial dynamics,spatial dynamics
plataforma multiconvertidor,multiconverter platform
digital twins,digital twins
fusiones bancarias,bank mergers
autónomos,autonomous
redes de robots,robot networks
middlebox observatory,middlebox observatory
eosc,them
fluctuaciones macroeconómicas,macroeconomic fluctuations
numérica de plasmas de fusión,numerical of fusion plasmas
interest rate swap,interest rate swap
calentamiento solar aire,solar air heating
user modeling,user modeling
distancias semánticas,semantic distances
modelización multiescala,multiscale modeling
network architecture,network architecture
hipótesis de expectativas,expectations hypothesis
mercado de pujas,bidding market
compensación directa,direct compensation
entrepreneurship,entrepreneurship
detección de fallos,fault detection
mecanismo de disparo de eventos,event trigger mechanism
